"Author","Title","Category","Location"
"Douglas, Comer","Operating System Design: The Xinu Approach","Engineering, Computer","WI"
"Thaler, George","Analysis and Design of Feedback Control Systems","Engineering, Controls","WI"
"Shahinpoor, Moshen","A Robot Engineering Textbook","Engineering, Robotics","WI"
"Shinners, Stanley","Control System Design","Engineering, Controls","WI"
"Johnson, C. Richard","Telecommunication Breakdown: Concepts of Communication Transmitted via Software-Defined Radio","Engineering, Communications","WI"
"Haykin, Simon","Digital Communications","Engineering, Communications","WI"
"Lindsey, William", "Telecommunication Systems Engineering","Engineering, Communications","WI"
"Rappaport, Theodore","Wireless Communications: Principles & Practice","Engineering, Communications","WI"
"Williams, Oscar","Immortal Poems of the English Language","Other, Poetry;Collection","WI"
"Benson, Thomas","Readings in Classical Rhetoric","Other, Rhetoric;Collection","WI"
"MacDonald, D.K.C.","Faraday, Maxwell, and Kelvin","Science History","WI"
"Harkness, John","Electrical Engineering at the University of Wisconsin in Madison: A Centennial History 1891-1991","Science History","WI"
"Wiener, Norbert","Cybernetics: or Control and Communication in the Animal and the Machine","Engineering, Other","WI"
"Harris, Randy","Modern Physics","Physics","WI"
"Griffiths, David","Introduction to Electrodynamics","Physics","WI"
"Hellweg, Gunter","Differential Operators of Mathematical Physics","Mathematical Physics;Mathematics;Physics","WI"
"Brillouin, Leon","Science and Information Theory","Mathematical Physics;Mathematics;Information Theory","WI"
"Ellis, Richard","Entropy, Large Deviations, and Statistical Mechanics","Mathematical Physics;Mathematics;Physics","WI"
"White, John","Principles of Engineering Economic Analysis","Economics","WI"
"Mankiw, N. Gregory","Principles of Economics","Economics","WI"
"Steinbeck, John","The Moon is Down","Fiction, American","WI"
"McCarthy, Cormac","The Road","Fiction, American","WI"
"Melville, Herman","Moby-Dick","Fiction, American","WI"
"Huxley, Aldous","Brave New World","Fiction, English;Fiction, European","WI"
"Dumas, Alexandre","The Three Musketeers","Fiction, French;Fiction, European","WI"
